,komentar,kategori,label,clean_text
0,Katanya orang kaya.. makan saja 1 hari 1jt.. tapi kok open donasi.. ngemis online berkedok donasi yah mbak,hate speech,1,orang kaya makan jt open donasi ngemis online kedok donasi yah mbak
1,"Malu ga sih open donasi, padahal tongkrongangannya semua iphone dan makan di tempat mewah. Tidak bermaksud membandingkan. Denada saja yang harus membiayai pengobatan anaknya yang sakit keras tidak sampai membuka donasi. Apakah tidak ada aturan di indonesia ini yang mengurusi keabsahan donasi dan syaratnya!!",hate speech,1,malu tidak sih open donasi tongkrongangannya iphone makan mewah tidak maksud banding denada biaya obat anak sakit kera tidak buka donasi tidak atur indonesia urus absah donasi syarat
2,bapak mana mak? Denise : sabar ya nak mama lagi buka lowongan jadi bapakmu ,hate speech,1,mak denise sabar ya nak mama buka lowong
3,"ORANG KAYA KOK NGEMIS wkwk. kalau NANTI GA MAMPU NGURUS ANAK TARO AJA DI PANTI NANTI PASTI ADA YANG ADOPSI,  DARIPADA NANTI MALU LIAT JEJAK DIGITAL IBU NYA WKWK",hate speech,1,orang kaya ngemis wkwk tidak ngurus anak taro panti adopsi malu lihat jejak digital nya wkwk
4,Percuma anak cuma buat dijadiin konten. Sumpah bukan calon emak benaran ini mah. Eksploitasi anak yang benar demi cuan mengalir,hate speech,1,anak dijadiin konten sumpah calon emak mah eksploitasi anak cuan alir
5,"Lu punya keluarga, tapi kagak punya hati ganggu keluarga orang.",hate speech,1,keluarga tidak hati ganggu keluarga orang
6,"udah tau sering bikin malu, tapi malah terus buka aib orang..",hate speech,1,tau bikin malu buka aib orang
7,"Sekarang minta maaf, besok buat ulah lagi, lusa minta maaf lagi, gitu terus sampai bulu hidung lu beruban Nis.",hate speech,1,maaf besok ulah lusa maaf bulu hidung uban ni
8,Elu jalan jalan ke jepang sanggup lah lahirin anak ga sanggup,hate speech,1,jalan jalan jepang sanggup lahirin anak tidak sanggup
9,"Kelihatan sih kalau orang tuamu gak bahagia Nies, mungkin malu sama kelakuan lu",hate speech,1,lihat sih orang tua tidak bahagia ny malu laku
10,Ingat semakin menua usia orang tuamu jadi jangan bikin orang tuamu merasa menyesal melahirkanmu,hate speech,1,tua usia orang tua bikin orang tua sesal lahir
